slug,current_title,fit,proposed_character,proposed_franchise,confidence,needs_owner_review,notes
dp-drop-shoulder-dbz-3,Goku Rage Drop Shoulder Tee,drop-shoulder,Goku,Dragon Ball,high,no,
dp-drop-shoulder-dbz-4,Goku Shenron Drop Shoulder Tee,drop-shoulder,Goku,Dragon Ball,high,no,
dp-drop-shoulder-dbz-5,Goku Ronin Drop Shoulder Tee,drop-shoulder,Goku,Dragon Ball,high,no,
dp-drop-shoulder-dbz-6,Goku Black Rebellion Drop Shoulder Tee,drop-shoulder,Goku,Dragon Ball,high,no,
dp-drop-shoulder-evil,See No Evil Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'see no evil'. Original / uncategorized design.
dp-drop-shoulder-eye,Living the Dream Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'living the dream'. Original / uncategorized design.
dp-drop-shoulder-fire,FIRE DROP SHOULDER TEE,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-fire-bleu,Maki Oze Firepower Drop Shoulder Tee,drop-shoulder,Maki,Jujutsu Kaisen,high,yes,Contains flagged term 'maki oze'.
dp-drop-shoulder-fuckoff,FUCKOFF DROP SHOULDER TEE,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-goodfellas,GOODFELLAS DROP SHOULDER TEE,drop-shoulder,GOODFELLAS,Cinema,high,no,
dp-drop-shoulder-hands,Kurapika Drop Shoulder Tee,drop-shoulder,Kurapika,Hunter x Hunter,high,no,
dp-drop-shoulder-head,Tanjiro Kamado Drop Shoulder Tee,drop-shoulder,Tanjiro,Demon Slayer,high,no,
dp-drop-shoulder-horn,Ichigo Hollow Drop Shoulder Tee,drop-shoulder,Ichigo,Bleach,high,no,
dp-drop-shoulder-itachi,ITACHI DROP SHOULDER TEE,drop-shoulder,Itachi,Naruto,high,no,
dp-drop-shoulder-itachi-2,Itachi Eclipse Drop Shoulder Tee,drop-shoulder,Itachi,Naruto,high,no,
dp-drop-shoulder-kaijin,Garou Kaijin Drop Shoulder Tee,drop-shoulder,Garou,One Punch Man,high,no,
dp-drop-shoulder-konichiwa,Rockstar Tokyo Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'rockstar tokyo'. Original / uncategorized design.
dp-drop-shoulder-luffy-1,Luffy Gear 5 Drop Shoulder Tee,drop-shoulder,Luffy,One Piece,high,no,
dp-drop-shoulder-luffy-2,Luffy Straw Hat Drop Shoulder Tee,drop-shoulder,Luffy,One Piece,high,no,
dp-drop-shoulder-luffy-3,Luffy Freedom Drop Shoulder Tee,drop-shoulder,Luffy,One Piece,high,no,
dp-drop-shoulder-madara,Madara Uchiha Drop Shoulder Tee,drop-shoulder,Madara,Naruto,high,no,
dp-drop-shoulder-mobland,Outlaw Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'outlaw'. Original / uncategorized design.
dp-drop-shoulder-naruto,Naruto Eyes Drop Shoulder Tee,drop-shoulder,Naruto,Naruto,high,no,
dp-drop-shoulder-naruto-2,Madara 1 Drop Shoulder Tee,drop-shoulder,Naruto,Naruto,high,no,
dp-drop-shoulder-naruto-3,NARUTO 3 DROP SHOULDER TEE,drop-shoulder,Naruto,Naruto,high,no,
dp-drop-shoulder-naruto-4,Itachi Uchiha Drop Shoulder Tee,drop-shoulder,Naruto,Naruto,high,no,
dp-drop-shoulder-naruto-5,Itachi Akatsuki Drop Shoulder Tee - Edition II,drop-shoulder,Naruto,Naruto,high,no,
dp-drop-shoulder-naruto-6,Itachi Akatsuki Drop Shoulder Tee - Edition III,drop-shoulder,Naruto,Naruto,high,no,
dp-drop-shoulder-peter,PETER DROP SHOULDER TEE,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-regular-series,Garou Kaijin Series Drop Shoulder Tee,drop-shoulder,Garou,One Punch Man,high,no,
dp-drop-shoulder-shoot,Kaneki Reaper Drop Shoulder Tee,drop-shoulder,Kaneki,Tokyo Ghoul,high,no,
dp-drop-shoulder-solo-1,Solo Leveling Drop Shoulder Tee,drop-shoulder,,Solo Leveling,high,no,
dp-drop-shoulder-speed,Formula Speed Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'formula speed'. Original / uncategorized design.
dp-drop-shoulder-titan,Sukuna Drop Shoulder Tee,drop-shoulder,Sukuna,Jujutsu Kaisen,high,yes,Contains flagged term 'titan'.
dp-drop-shoulder-yamoto,Yamoto Inferno Drop Shoulder Tee,drop-shoulder,,,none,yes,Contains flagged term 'yamoto'. Original / uncategorized design.
dp-drop-shoulder-zoro,Zoro Ronin Drop Shoulder Tee,drop-shoulder,Zoro,One Piece,high,no,
dp-drop-shoulder-zoro-2,Zoro Bushido Drop Shoulder Tee,drop-shoulder,Zoro,One Piece,high,no,
dp-regular-ace-1,FIRE FIST ACE REGULAR TEE,regular,Ace,One Piece,high,no,
dp-regular-aizen,AIZEN REGULAR TEE,regular,Aizen,Bleach,high,no,
dp-regular-anime1,CHOSO BLOODLINE REGULAR TEE,regular,Choso,Jujutsu Kaisen,high,no,
dp-regular-animeshoot,KANEKI REAPER REGULAR TEE,regular,Kaneki,Tokyo Ghoul,high,no,
dp-regular-batman1,BATMAN NOIR REGULAR TEE,regular,Batman,DC,high,no,
dp-regular-berserk,GUTS BRAND OF SACRIFICE REGULAR TEE,regular,Guts,Berserk,high,no,
dp-regular-berserk-2,GUTS BERSERKER ARMOR REGULAR TEE,regular,Guts,Berserk,high,no,
dp-regular-berserk-3,GUTS BERSERKER REGULAR TEE,regular,Guts,Berserk,high,no,
dp-regular-bleach,BLEACH REGULAR TEE,regular,,Bleach,high,no,
dp-regular-chainsaw-1,CHAINSAW MAN REGULAR TEE,regular,,Chainsaw Man,high,no,
dp-regular-chainsaw-2,DENJI CHAINSAW REGULAR TEE,regular,Denji,Chainsaw Man,high,no,
dp-regular-chinese,ROCKSTAR TOKYO REGULAR TEE,regular,,,none,yes,Contains flagged term 'rockstar tokyo'. Original / uncategorized design.
dp-regular-dbz-1,MAJIN VEGETA REGULAR TEE,regular,Vegeta,Dragon Ball,high,no,
dp-regular-dbz-3,VEGETA SUPER SAIYAN REGULAR TEE,regular,Vegeta,Dragon Ball,high,no,
dp-regular-dbz-4,MAJIN VEGETA RAGE REGULAR TEE,regular,Vegeta,Dragon Ball,high,no,
dp-regular-dbz-5,GOKU RAGE REGULAR TEE,regular,Goku,Dragon Ball,high,no,
dp-regular-dbz-6,GOKU SHENRON REGULAR TEE,regular,Goku,Dragon Ball,high,no,
dp-regular-dbz-7,GOKU RONIN REGULAR TEE,regular,Goku,Dragon Ball,high,no,
dp-regular-dbz-8,GOKU BLACK REBELLION REGULAR TEE,regular,Goku,Dragon Ball,high,no,
dp-regular-dream,LIVE THE DREAM REGULAR TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-eye-2,GOJO SATORU REGULAR TEE,regular,Gojo,Jujutsu Kaisen,high,no,
dp-regular-fire,MAKI OZE FIREPOWER REGULAR TEE,regular,Maki,Jujutsu Kaisen,high,yes,Contains flagged term 'maki oze'.
dp-regular-fuck,FUCK OFF REGULAR TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-goodfellas,GOODFELLAS REGULAR TEE,regular,GOODFELLAS,Cinema,high,no,
dp-regular-hands,KURAPIKA RAGE REGULAR TEE,regular,Kurapika,Hunter x Hunter,high,no,
dp-regular-ichigo,ICHIGO HOLLOW REGULAR TEE,regular,Ichigo,Bleach,high,no,
dp-regular-isagi-1,ISAGI YOICHI REGULAR TEE,regular,Isagi,Blue Lock,high,no,
dp-regular-kaijin,GAROU KAIJIN REGULAR TEE,regular,Garou,One Punch Man,high,no,
dp-regular-knight,KNIGHT REGULAR TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-luffy-1,LUFFY GEAR 5 REGULAR TEE - EDITION I,regular,Luffy,One Piece,high,no,
dp-regular-luffy-2,LUFFY GEAR 5 REGULAR TEE - EDITION II,regular,Luffy,One Piece,high,no,
dp-regular-luffy-3,LUFFY STRAW HAT REGULAR TEE,regular,Luffy,One Piece,high,no,
dp-regular-luffy-4,LUFFY FREEDOM REGULAR TEE,regular,Luffy,One Piece,high,no,
dp-regular-madara-1,MADARA 1 REGULAR TEE,regular,Madara,Naruto,high,no,
dp-regular-mob,OUTLAW REGULAR TEE,regular,,,none,yes,Contains flagged term 'outlaw'. Original / uncategorized design.
dp-regular-naruto-1,NARUTO EYES REGULAR TEE,regular,Naruto,Naruto,high,no,
dp-regular-naruto-2,NARUTO SHADOW REGULAR TEE,regular,Naruto,Naruto,high,no,
dp-regular-naruto-3,ITACHI AKATSUKI REGULAR TEE - EDITION I,regular,Naruto,Naruto,high,no,
dp-regular-responsibility,PETER PARKER GREAT POWER REGULAR TEE,regular,Peter Parker,Marvel,high,no,
dp-regular-solo-1,SOLO LEVELING SHADOW REGULAR TEE,regular,,Solo Leveling,high,no,
dp-regular-solo-2,SOLO LEVELING ARISE REGULAR TEE,regular,,Solo Leveling,high,no,
dp-regular-speed,FORMULA SPEED REGULAR TEE,regular,,,none,yes,Contains flagged term 'formula speed'. Original / uncategorized design.
dp-regular-sukuna,SUKUNA REGULAR TEE,regular,Sukuna,Jujutsu Kaisen,high,no,
dp-regular-sukuna-2,SUKUNA CURSED REGULAR TEE,regular,Sukuna,Jujutsu Kaisen,high,no,
dp-regular-tujiro,TANJIRO KAMADO REGULAR TEE,regular,Tanjiro,Demon Slayer,high,no,
dp-regular-uchiha-1,MADARA UCHIHA REGULAR TEE,regular,Madara,Naruto,high,no,
dp-regular-uchiha-2,ITACHI UCHIHA REGULAR TEE,regular,Itachi,Naruto,high,no,
dp-regular-uchiha-3,ITACHI AKATSUKI REGULAR TEE - EDITION II,regular,Itachi,Naruto,high,no,
dp-regular-uchiha-4,ITACHI ECLIPSE REGULAR TEE,regular,Itachi,Naruto,high,no,
dp-regular-uchiha-5,ITACHI AKATSUKI REGULAR TEE - EDITION III,regular,Itachi,Naruto,high,no,
dp-regular-yamoto-1,YAMAMOTO INFERNO REGULAR TEE,regular,,,none,yes,Contains flagged term 'yamoto'. Original / uncategorized design.
dp-regular-zoro-1,ZORO RONIN REGULAR TEE,regular,Zoro,One Piece,high,no,
dp-regular-zoro-2,ZORO BUSHIDO REGULAR TEE,regular,Zoro,One Piece,high,no,
mug-white,SKULL CERAMIC MUG,mug,,,none,yes,Original / uncategorized design.
mug-colored,SUBLIMATION MUG (INNER + HANDLE COLORED),mug,,,none,yes,Original / uncategorized design.
mug-manga-panel,MANGA PANEL MUG,mug,,,none,yes,Original / uncategorized design.
tapestry-one-piece-gear-5-luffy-tapestry,ONE PIECE GEAR 5 LUFFY TAPESTRY,tapestry,Luffy,One Piece,high,no,
tapestry-berserk-eclipse-tapestry,BERSERK ECLIPSE TAPESTRY,tapestry,,Berserk,high,no,
tapestry-itachi-uchiha-sharingan-tapestry,ITACHI UCHIHA SHARINGAN TAPESTRY,tapestry,Itachi,Naruto,high,no,
tapestry-goku-kamehameha-tapestry,GOKU KAMEHAMEHA TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-fight-club-tyler-durden-tapestry,FIGHT CLUB TYLER DURDEN TAPESTRY,tapestry,FIGHT CLUB,Cinema,high,no,
tapestry-guts-brand-of-sacrifice-tapestry,GUTS BRAND OF SACRIFICE TAPESTRY,tapestry,Guts,Berserk,high,no,
tapestry-spider-man-comic-tapestry,SPIDER-MAN COMIC TAPESTRY,tapestry,Spider-Man,Marvel,high,no,
tapestry-breaking-bad-walter-white-jesse-tapestry,BREAKING BAD WALTER WHITE JESSE TAPESTRY,tapestry,BREAKING BAD,Cinema,high,no,
tapestry-american-psycho-movie-poster-tapestry,AMERICAN PSYCHO MOVIE POSTER TAPESTRY,tapestry,AMERICAN PSYCHO,Cinema,high,no,
tapestry-madara-uchiha-sharingan-tapestry,MADARA UCHIHA SHARINGAN TAPESTRY,tapestry,Madara,Naruto,high,no,
tapestry-vegeta-super-saiyan-tapestry,VEGETA SUPER SAIYAN TAPESTRY,tapestry,Vegeta,Dragon Ball,high,no,
tapestry-tanjiro-kamado-tapestry,TANJIRO KAMADO TAPESTRY,tapestry,Tanjiro,Demon Slayer,high,no,
tapestry-scarface-tony-montana-tapestry,SCARFACE TONY MONTANA TAPESTRY,tapestry,Ace,One Piece,high,no,
tapestry-ultra-instinct-goku-energy-tapestry,ULTRA INSTINCT GOKU ENERGY TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-the-godfather-tapestry,THE GODFATHER TAPESTRY,tapestry,GODFATHER,Cinema,high,no,
tapestry-luffy-one-piece-tapestry,LUFFY ONE PIECE TAPESTRY,tapestry,Luffy,One Piece,high,no,
tapestry-guts-berserk-tapestry,GUTS BERSERK TAPESTRY,tapestry,Guts,Berserk,high,no,
tapestry-american-psycho-bateman-portrait-tapestry,AMERICAN PSYCHO BATEMAN PORTRAIT TAPESTRY,tapestry,AMERICAN PSYCHO,Cinema,high,no,
tapestry-dragon-ball-z-characters-tapestry,DRAGON BALL Z CHARACTERS TAPESTRY,tapestry,,Dragon Ball,high,no,
tapestry-goku-ultra-instinct-red-tapestry,GOKU ULTRA INSTINCT RED TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-itachi-uchiha-crows-tapestry,ITACHI UCHIHA CROWS TAPESTRY,tapestry,Itachi,Naruto,high,no,
tapestry-vegeta-prince-of-saiyans-tapestry,VEGETA PRINCE OF SAIYANS TAPESTRY,tapestry,Vegeta,Dragon Ball,high,no,
tapestry-goku-manga-collage-tapestry,GOKU MANGA COLLAGE TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-itachi-uchiha-akatsuki-tapestry,ITACHI UCHIHA AKATSUKI TAPESTRY,tapestry,Itachi,Naruto,high,no,
tapestry-goku-dragon-ball-z-manga-tapestry,GOKU DRAGON BALL Z MANGA TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-berserk-tapestry,BERSERK TAPESTRY,tapestry,,Berserk,high,no,
tapestry-dragon-ball-z-goku-collage-tapestry,DRAGON BALL Z GOKU COLLAGE TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-goku-super-saiyan-tapestry,GOKU SUPER SAIYAN TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-goku-ultra-instinct-tapestry,GOKU ULTRA INSTINCT TAPESTRY,tapestry,Goku,Dragon Ball,high,no,
tapestry-cyber-city,CYBER CITY NIGHT TAPESTRY,tapestry,,,none,yes,Original / uncategorized design.
tapestry-manga-panel,ITACHI MANGA PANEL TAPESTRY,tapestry,Itachi,Naruto,high,no,
tapestry-rick-and-morty,RICK & MORTY TAPESTRY,tapestry,Rick & Morty,TV,high,no,
tapestry-vagabond,VAGABOND TAPESTRY,tapestry,,,none,yes,Original / uncategorized design.
scarlet-bloom-tee,SCARLET BLOOM TEE,regular,,,none,yes,Original / uncategorized design.
breakout-tee,BREAKOUT REGULAR TEE,regular,,,none,yes,Original / uncategorized design.
berserk-tee,BERSERK TEE,regular,,Berserk,high,no,
dp-regular-spiderverse,SPIDERVERSE TEE,regular,,Marvel,high,no,
dp-regular-divine,DIVINE TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-lcnst,LCNST TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-snake,SNAKE TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-abstract-wings,ABSTRACT WINGS TEE,regular,,,none,yes,Original / uncategorized design.
dp-regular-ferrari,FERRARI TEE,regular,,,none,yes,Original / uncategorized design.
dp-acid-wash-berserk-warrior,BERSERK WARRIOR ACID WASH TEE,acid-wash,,Berserk,high,no,
dp-acid-wash-divine,DIVINE ACID WASH TEE,acid-wash,,,none,yes,Original / uncategorized design.
dp-acid-wash-punk-is-dead,PUNK IS DEAD ACID WASH TEE,acid-wash,,,none,yes,Original / uncategorized design.
dp-acid-wash-ferrari,FERRARI ACID WASH TEE,acid-wash,,,none,yes,Original / uncategorized design.
dp-acid-wash-knightfall,KNIGHTFALL ACID WASH TEE,acid-wash,,,none,yes,Original / uncategorized design.
dp-acid-wash-abstract-wings,ABSTRACT WINGS ACID WASH TEE,acid-wash,,,none,yes,Original / uncategorized design.
dp-acid-wash-berserk-classic,BERSERK ACID WASH TEE,acid-wash,,Berserk,high,no,
dp-acid-wash-breakout,BREAKOUT ACID WASH TEE,acid-wash,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-berserk,Berserk Drop Shoulder Tee,drop-shoulder,,Berserk,high,no,
dp-drop-shoulder-divine,DIVINE DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-punk-is-dead,PUNK IS DEAD DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-lcnst,LCNST DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-tbsm-calm,TBSM CALM DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-tbsm-encore,TBSM ENCORE DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-punish,Punish Drop Shoulder Tee,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-ferrari,FERRARI DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-tbsm,TBSM DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-abstract-wings,ABSTRACT WINGS DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
dp-drop-shoulder-snake,SNAKE DRP SHLDR,drop-shoulder,,,none,yes,Original / uncategorized design.
